iter	Passed	Remaining
413	3418	4838
414	3428	4833
415	3436	4823
416	3449	4822
417	3461	4819
418	3470	4812
419	3483	4809
420	3491	4802
421	3513	4812
422	3528	4812
423	3541	4810
424	3551	4804
425	3560	4797
426	3568	4788
427	3578	4782
428	3585	4771
429	3596	4767
430	3607	4762
431	3616	4755
432	3627	4750
433	3640	4747
434	3656	4749
435	3678	4758
436	3691	4755
437	3708	4758
438	3724	4759
439	3735	4754
440	3751	4755
441	3769	4758
442	3777	4749
443	3789	4745
444	3799	4738
445	3807	4729
446	3816	4721
447	3823	4711
448	3832	4703
449	3841	4695
450	3851	4687
451	3859	4679
452	3869	4672
453	3876	4662
454	3884	4652
455	3893	4645
456	3900	4634
457	3910	4627
458	3920	4620
459	3934	4618
460	3949	4617
461	3962	4613
462	3974	4609
463	3993	4613
464	4003	4606
465	4013	4599
466	4023	4591
467	4038	4590
468	4054	4590
469	4061	4579
470	4075	4577
471	4098	4584
472	4107	4576
473	4115	4566
474	4122	4556
475	4132	4548
476	4142	4542
477	4152	4534
478	4160	4524
479	4169	4517
480	4176	4506
481	4184	4496
482	4190	4485
483	4200	4477
484	4205	4465
485	4213	4455
486	4220	4446
487	4229	4437
488	4236	4427
489	4245	4418
490	4251	4407
491	4260	4399
492	4267	4388
493	4277	4380
494	4283	4369
495	4291	4360
496	4298	4350
497	4305	4339
498	4312	4329
499	4319	4319
500	4331	4313
501	4338	4303
502	4347	4295
503	4355	4286
504	4362	4275
505	4367	4264
506	4375	4254
507	4382	4244
508	4390	4235
509	4397	4225
510	4406	4217
511	4414	4207
512	4423	4199
513	4430	4189
514	4439	4181
515	4452	4176
516	4459	4166
517	4468	4158
518	4475	4148
519	4482	4137
520	4490	4128
521	4496	4117
522	4505	4109
523	4513	4099
524	4521	4090
525	4527	4079
526	4536	4071
527	4545	4063
528	4554	4054
529	4560	4044
530	4568	4035
531	4574	4024
532	4583	4015
533	4589	4004
534	4596	3994
535	4602	3984
536	4609	3973
537	4616	3964
538	4622	3953
539	4629	3943
540	4635	3932
541	4641	3922
542	4649	3913
543	4656	3903
544	4664	3894
545	4671	3884
546	4680	3875
547	4686	3865
548	4694	3856
549	4701	3846
550	4710	3838
551	4718	3829
552	4726	3820
553	4733	3811
554	4743	3803
555	4752	3795
556	4762	3787
557	4770	3778
558	4777	3769
559	4783	3758
560	4793	3751
561	4801	3741
562	4809	3733
563	4816	3723
564	4823	3714
565	4829	3703
566	4837	3694
567	4843	3684
568	4850	3674
569	4859	3665
570	4867	3656
571	4873	3646
572	4887	3642
573	4895	3632
574	4903	3624
575	4910	3614
576	4919	3606
577	4926	3596
578	4935	3588
579	4947	3583
580	4960	3577
581	4971	3570
582	4981	3562
583	4987	3552
584	4996	3544
585	5003	3534
586	5012	3526
587	5020	3518
588	5029	3509
589	5037	3500
590	5046	3492
591	5054	3483
592	5067	3478
593	5077	3470
594	5085	3461
595	5095	3454
596	5102	3444
597	5111	3436
598	5118	3426
599	5129	3419
600	5136	3409
601	5144	3401
602	5159	3396
603	5166	3387
604	5175	3379
605	5184	3370
606	5192	3361
607	5203	3354
608	5209	3344
609	5218	3336
610	5224	3326
611	5234	3318
612	5241	3309
613	5252	3301
614	5260	3292
615	5268	3284
616	5275	3274
617	5282	3265
618	5288	3255
619	5294	3245
620	5302	3235
621	5308	3225
622	5315	3216
623	5319	3205
624	5325	3195
625	5334	3186
626	5340	3176
627	5348	3168
628	5354	3158
629	5362	3149
630	5371	3141
631	5379	3132
632	5386	3122
633	5393	3113
634	5402	3105
635	5411	3097
636	5419	3088
637	5428	3080
638	5435	3070
639	5444	3062
640	5451	3052
641	5460	3044
642	5468	3035
643	5477	3028
644	5484	3018
645	5493	3010
646	5499	3000
647	5507	2991
648	5514	2982
649	5520	2972
